[08Jul2025 00:01:08.513] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:09.213] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:09.265] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:02:09.465] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-39, y=14, z=-250} BlockPos{x=-38, y=15, z=-250}
[08Jul2025 00:02:12.315] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-39, y=16, z=-252} BlockPos{x=-39, y=15, z=-253}
[08Jul2025 00:02:12.363] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-39, y=16, z=-252} BlockPos{x=-39, y=15, z=-253}
[08Jul2025 00:02:12.416] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-39, y=16, z=-252} BlockPos{x=-39, y=15, z=-253}
[08Jul2025 00:02:12.462] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-39, y=16, z=-252} BlockPos{x=-39, y=15, z=-253}
[08Jul2025 00:02:12.518] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-39, y=16, z=-252} BlockPos{x=-39, y=15, z=-253}
[08Jul2025 00:02:12.564] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-39, y=16, z=-252} BlockPos{x=-39, y=15, z=-253}
[08Jul2025 00:02:12.613] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-39, y=16, z=-252} BlockPos{x=-39, y=15, z=-253}
[08Jul2025 00:02:12.664] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-39, y=16, z=-252} BlockPos{x=-39, y=15, z=-253}
[08Jul2025 00:02:12.717] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-39, y=16, z=-252} BlockPos{x=-39, y=15, z=-253}
[08Jul2025 00:02:22.313] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-41, y=16, z=-260} BlockPos{x=-40, y=15, z=-261}
[08Jul2025 00:02:22.361] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-41, y=16, z=-260} BlockPos{x=-40, y=15, z=-261}
[08Jul2025 00:02:22.416] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-41, y=16, z=-260} BlockPos{x=-40, y=15, z=-261}
[08Jul2025 00:02:22.464] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-41, y=16, z=-260} BlockPos{x=-40, y=15, z=-261}
[08Jul2025 00:02:22.514] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-41, y=16, z=-260} BlockPos{x=-40, y=15, z=-261}
[08Jul2025 00:02:22.563] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-41, y=16, z=-260} BlockPos{x=-40, y=15, z=-261}
[08Jul2025 00:02:31.813] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-35, y=16, z=-269} BlockPos{x=-37, y=16, z=-269}
[08Jul2025 00:02:47.062] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-45, y=15, z=-274} BlockPos{x=-46, y=15, z=-273}
[08Jul2025 00:02:47.114] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-46, y=15, z=-274} BlockPos{x=-46, y=15, z=-273}
[08Jul2025 00:02:47.163] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-46, y=15, z=-275} BlockPos{x=-46, y=15, z=-273}
[08Jul2025 00:02:47.213] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-46, y=15, z=-275} BlockPos{x=-46, y=15, z=-273}
[08Jul2025 00:02:47.265] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-46, y=15, z=-275} BlockPos{x=-46, y=15, z=-273}
[08Jul2025 00:02:47.312] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-46, y=15, z=-275} BlockPos{x=-46, y=15, z=-273}
[08Jul2025 00:02:47.363] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-46, y=15, z=-275} BlockPos{x=-46, y=15, z=-273}
[08Jul2025 00:02:47.410] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-46, y=15, z=-275} BlockPos{x=-46, y=15, z=-273}
[08Jul2025 00:02:47.463] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-46, y=15, z=-275} BlockPos{x=-46, y=15, z=-273}
[08Jul2025 00:02:47.514] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-46, y=15, z=-275} BlockPos{x=-46, y=15, z=-273}
[08Jul2025 00:04:14.125] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-34, y=16, z=-286} BlockPos{x=-35, y=16, z=-290}
[08Jul2025 00:04:14.263] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-34, y=16, z=-286} BlockPos{x=-35, y=16, z=-290}
